__id,fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
row-zc8k-ip2t.htex,26/05/2022,jueves,no aplica,no aplica,no aplica,si,si,si,no,si,no,masculino,72,no aplica,ninguno,divorciado,secundaria,la dolores,comuna10,no aplica,no aplica,3,propia,5,no aplica,masculino,hijo(a),no aplica,36,soltero(a),tecnicos,no aplica,la dolores,comuna10,no aplica,familiar
row-2h7i_aw7g_na49,28/05/2022,sabado,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,45,si,ninguno,viudo(a),quinto-primaria,ninguno,comuna1,urb. los caimitos,oficios varios,4,alquilada,3,7,femenino,hijo(a),0,19,soltero(a),no aplica,no aplica,ninguno,comuna1,urb. los caimitos,no aplica
row-e69f~vy4n-d4su,30/05/2022,lunes,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,35,no,ninguno,soltero,no aplica,ninguno,comuna5,urb. buenos aires,empleado,1,no aplica,no aplica,no aplica,masculino,ex-conyuge,2,27,soltero(a),no aplica,desempleado,ninguno,comuna1,la vega,alquilada
row-yhcy~mzcs~mnty,31/05/2022,martes,no aplica,no aplica,no aplica,si,no,si,no,si,no,femenino,75,no,ninguno,viuda,no aplica,ninguno,comuna5,los sauces,ama de casa,4,propia,7,no aplica,masculino,hijo(a),4,50,soltero(a),no aplica,ebanista,ninguno,comuna5,los sauces,no aplica
row-tefx~tvnf-8cs7,04/05/2022,miercoles,03/05/2022,martes,04:00 AM,no,si,si,no,si,no,femenino,48,no,ninguno,unión libre,bachiller completo,callejon buggy,comuna8,cgto rozo,empleado,1,propia,2,8,masculino,pareja,1,49,unión libre,bachiller completo,empleado,casa3,no aplica,cgto rozo,propia
row-9mxg~xb93-dexn,09/05/2022,lunes,09/05/2022,lunes,no aplica,si,no,si,no,si,no,masculino,62,no,ninguno,union libre,primaria,callejon el recreo,comuna8,cgto rozo,electricista,no aplica,propia,2,3,femenino,pareja,no aplica,52,unión libre,primaria,ama de casa,no aplica,no aplica,cgto rozo,familiar
row-ubrk_j8yp~qjfs,09/05/2022,lunes,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,masculino,no aplica,no,ninguno,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,femenino,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica
row-skwn_t57x~tq3n,09/05/2022,lunes,09/05/2022,lunes,no aplica,si,no,si,no,si,no,femenino,48,no,ninguno,soltera,bachiller,la campana callejon lemus,comuna8,cgto rozo,docente,no aplica,no aplica,no aplica,no aplica,masculino,hijo(a),no aplica,19,soltero(a),bachiller,no aplica,sector la campaña callejon lemus,no aplica,no aplica,no aplica
row-i7qg~8wzv_rsan,17/05/2022,martes,no aplica,no aplica,no aplica,no,no,si,no aplica,no aplica,no aplica,femenino,31,no,ninguno,soltera,tecnico,callejon la esperanza,comuna8,cgto rozo,empleada,no aplica,rentada,no aplica,no aplica,masculino,ex pareja,no aplica,32,soltero(a),no aplica,constructor,callejon el fuerte,no aplica,cgto rozo,no aplica
row-e3tp~zi5r.wxha,23/05/2022,lunes,22/05/2022,domingo,no aplica,no,si,si,no,si,no,masculino,22,no,ninguno,soltero(a),bachiller,no aplica,comuna8,cgto rozo,empleado,no aplica,propia,1,no aplica,femenino,ex pareja,no aplica,31,soltero(a),no aplica,oficios varios,callejon santa rita,no aplica,cgto rozo,no aplica
